# Station : SAINT-NAZAIRE
# Longitude : -2.20155
# Latitude : 47.266862
# Organisme fournisseur de données : Shom, Grand Port Maritime Nantes Saint-Nazaire
# Fuseau horaire : UTC
# Référence verticale : zero_hydrographique
# Unité : m
# Source 1 : Données brutes temps réel
# Source 2 : Données brutes temps différé
# Source 3 : Données validées temps différé
# Source 4 : Données horaires validées
# Source 5 : Données horaires brutes
# Source 6 : Pleines et basses mers
# Date;Valeur;Source
01/01/2020 00:00:00;2.753;4
01/01/2020 01:00:00;2.24;4
01/01/2020 01:48:32;2.08;6
01/01/2020 02:00:00;2.09;4
01/01/2020 03:00:00;2.486;4
01/01/2020 04:00:00;3.377;4
01/01/2020 05:00:00;4.31;4
01/01/2020 06:00:00;4.931;4
01/01/2020 06:56:51;5.123;6
01/01/2020 07:00:00;5.123;4
01/01/2020 08:00:00;4.952;4
01/01/2020 09:00:00;4.657;4
01/01/2020 10:00:00;4.269;4
01/01/2020 11:00:00;3.69;4
01/01/2020 12:00:00;2.969;4
01/01/2020 13:00:00;2.343;4
01/01/2020 14:00:00;2.028;4
01/01/2020 14:09:44;2.021;6
01/01/2020 15:00:00;2.221;4
01/01/2020 16:00:00;2.953;4
01/01/2020 17:00:00;3.87;4
01/01/2020 18:00:00;4.516;4
01/01/2020 19:00:00;4.767;4
01/01/2020 19:01:49;4.767;6
01/01/2020 20:00:00;4.608;4
01/01/2020 21:00:00;4.369;4
01/01/2020 22:00:00;4.131;4
01/01/2020 23:00:00;3.808;4
02/01/2020 00:00:00;3.318;4
02/01/2020 01:00:00;2.751;4
02/01/2020 02:00:00;2.313;4
02/01/2020 02:31:17;2.244;6
02/01/2020 03:00:00;2.305;4
02/01/2020 04:00:00;2.826;4
02/01/2020 05:00:00;3.688;4
02/01/2020 06:00:00;4.436;4
02/01/2020 07:00:00;4.894;4
02/01/2020 07:34:47;4.96;6
02/01/2020 08:00:00;4.933;4
02/01/2020 09:00:00;4.729;4
02/01/2020 10:00:00;4.468;4
02/01/2020 11:00:00;4.184;4
02/01/2020 12:00:00;3.682;4
02/01/2020 13:00:00;3.035;4
02/01/2020 14:00:00;2.482;4
02/01/2020 14:47:23;2.328;6
02/01/2020 15:00:00;2.339;4
02/01/2020 16:00:00;2.677;4
02/01/2020 17:00:00;3.349;4
02/01/2020 18:00:00;4.041;4
02/01/2020 19:00:00;4.511;4
02/01/2020 20:00:00;4.683;4
02/01/2020 20:00:18;4.683;6
02/01/2020 21:00:00;4.56;4
02/01/2020 22:00:00;4.378;4
02/01/2020 23:00:00;4.219;4
03/01/2020 00:00:00;3.969;4
03/01/2020 01:00:00;3.498;4
03/01/2020 02:00:00;2.94;4
03/01/2020 03:00:00;2.607;4
03/01/2020 03:23:15;2.574;6
03/01/2020 04:00:00;2.665;4
03/01/2020 05:00:00;3.183;4
03/01/2020 06:00:00;3.853;4
03/01/2020 07:00:00;4.407;4
03/01/2020 08:00:00;4.751;4
03/01/2020 08:37:23;4.806;6
03/01/2020 09:00:00;4.793;4
03/01/2020 10:00:00;4.667;4
03/01/2020 11:00:00;4.446;4
03/01/2020 12:00:00;4.102;4
03/01/2020 13:00:00;3.578;4
03/01/2020 14:00:00;2.98;4
03/01/2020 15:00:00;2.528;4
03/01/2020 15:45:30;2.409;6
03/01/2020 16:00:00;2.422;4
03/01/2020 17:00:00;2.729;4
03/01/2020 18:00:00;3.301;4
03/01/2020 19:00:00;3.882;4
03/01/2020 20:00:00;4.19;4
03/01/2020 21:00:00;4.303;4
03/01/2020 21:04:58;4.304;6
03/01/2020 22:00:00;4.26;4
03/01/2020 23:00:00;4.221;4
04/01/2020 00:00:00;4.105;4
04/01/2020 01:00:00;3.779;4
04/01/2020 02:00:00;3.222;4
04/01/2020 03:00:00;2.676;4
04/01/2020 04:00:00;2.442;4
04/01/2020 04:16:42;2.431;6
04/01/2020 05:00:00;2.528;4
04/01/2020 06:00:00;2.998;4
04/01/2020 07:00:00;3.609;4
04/01/2020 08:00:00;4.143;4
04/01/2020 09:00:00;4.423;4
04/01/2020 09:50:24;4.488;6
04/01/2020 10:00:00;4.486;4
04/01/2020 11:00:00;4.408;4
04/01/2020 12:00:00;4.279;4
04/01/2020 13:00:00;3.944;4
04/01/2020 14:00:00;3.417;4
04/01/2020 15:00:00;2.87;4
04/01/2020 16:00:00;2.481;4
04/01/2020 16:37:23;2.413;6
04/01/2020 17:00:00;2.433;4
04/01/2020 18:00:00;2.681;4
04/01/2020 19:00:00;3.205;4
04/01/2020 20:00:00;3.713;4
04/01/2020 21:00:00;4.068;4
04/01/2020 22:00:00;4.245;4
04/01/2020 23:00:00;4.315;4
04/01/2020 23:40:44;4.336;6
05/01/2020 00:00:00;4.329;4
05/01/2020 01:00:00;4.169;4
05/01/2020 02:00:00;3.747;4
05/01/2020 03:00:00;3.19;4
05/01/2020 04:00:00;2.68;4
05/01/2020 05:00:00;2.417;4
05/01/2020 05:17:23;2.401;6
05/01/2020 06:00:00;2.499;4
05/01/2020 07:00:00;2.957;4
05/01/2020 08:00:00;3.568;4
05/01/2020 09:00:00;4.086;4
05/01/2020 10:00:00;4.388;4
05/01/2020 11:00:00;4.518;4
