# Station : SAINT-MALO
# Longitude : -2.028103
# Latitude : 48.640812
# Organisme fournisseur de données : Shom, CCI Ille-et-Vilaine, CR Bretagne
# Fuseau horaire : UTC
# Référence verticale : zero_hydrographique
# Unité : m
# Source 1 : Données brutes temps réel
# Source 2 : Données brutes temps différé
# Source 3 : Données validées temps différé
# Source 4 : Données horaires validées
# Source 5 : Données horaires brutes
# Source 6 : Pleines et basses mers
# Date;Valeur;Source
01/01/2021 00:00:00;4.008;4
01/01/2021 01:00:00;2.834;4
01/01/2021 02:00:00;2.457;4
01/01/2021 03:00:00;3.287;4
01/01/2021 04:00:00;5.412;4
01/01/2021 05:00:00;8.063;4
01/01/2021 06:00:00;10.503;4
01/01/2021 07:00:00;11.644;4
01/01/2021 08:00:00;11.374;4
01/01/2021 09:00:00;10.108;4
01/01/2021 10:00:00;8.262;4
01/01/2021 11:00:00;6.286;4
01/01/2021 12:00:00;4.472;4
01/01/2021 13:00:00;3.114;4
01/01/2021 14:00:00;2.371;4
01/01/2021 15:00:00;2.68;4
01/01/2021 16:00:00;4.271;4
01/01/2021 17:00:00;6.806;4
01/01/2021 18:00:00;9.38;4
01/01/2021 19:00:00;11.079;4
01/01/2021 20:00:00;11.408;4
01/01/2021 21:00:00;10.52;4
01/01/2021 22:00:00;8.914;4
01/01/2021 23:00:00;6.975;4
02/01/2021 00:00:00;5.038;4
02/01/2021 01:00:00;3.517;4
02/01/2021 02:00:00;2.575;4
02/01/2021 03:00:00;2.594;4
02/01/2021 04:00:00;3.901;4
02/01/2021 05:00:00;6.332;4
02/01/2021 06:00:00;8.976;4
02/01/2021 07:00:00;11.009;4
02/01/2021 08:00:00;11.616;4
02/01/2021 09:00:00;10.927;4
02/01/2021 10:00:00;9.431;4
02/01/2021 11:00:00;7.497;4
02/01/2021 12:00:00;5.531;4
02/01/2021 13:00:00;3.88;4
02/01/2021 14:00:00;2.737;4
02/01/2021 15:00:00;2.315;4
02/01/2021 16:00:00;3.103;4
02/01/2021 17:00:00;5.068;4
02/01/2021 18:00:00;7.63;4
02/01/2021 19:00:00;9.974;4
02/01/2021 20:00:00;11.184;4
